Дата,Нед,Тип юнита,Рубрика/Кластер,Формат,Сегмент,Тема,Хук / Содержание,Структура (атом),CTA,Статус
2026-07-20,1,Карусель,ДЫРЫ,ШОКЕР,Хаотик,Конкурент получает твоих клиентов бесплатно,Твой конкурент получает твоих клиентов. Бесплатно.,"С2: 8 из 10 бизнесов без стратегии (НАФИ)  |  С3: Голос клиента: «120к на Директ, купили двое»  |  С4: Из 10 заявок забываешь перезвонить 3-5  |  С5: Бот за 30 сек + CRM + воронка | Слайд 6: Бесплатный AI-аудит в боте | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",Бесплатный AI-аудит в боте,
2026-07-22,1,Карусель,ФОРМУЛА,КАЛЬКУЛЯТОР,Хаотик,"Посчитай, сколько заявок ты хоронишь в месяц",Сколько заявок ты похоронил в этом месяце? Считаем.,"С2: Шаг 1: заявок в месяц = А  |  С3: Шаг 2: А умножить на 0.4 = похоронено (KT-Team)  |  С4: Шаг 3: умножь на средний чек  |  С5: Пример: 50 заявок, чек 8К = 160К в мусор | Слайд 6: Точный расчёт в боте за 2 мин | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",Точный расчёт в боте за 2 мин,
2026-07-24,1,Карусель,РОСТ,ДО/ПОСЛЕ,Разочарованный,"Что меняет бот, отвечающий за 30 секунд",Клиент ждёт ответ 5 минут. Потом уходит. Навсегда.,"С2: ДО: заявка ждёт в WhatsApp до вечера  |  С3: Скорость ответа решает сделку  |  С4: ПОСЛЕ: бот отвечает ночью, CRM напоминает  |  С5: Модельный расчёт: +30% дозвона = +N продаж | Слайд 6: Чек-лист «7 дыр в продажах» | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",Чек-лист «7 дыр в продажах»,
2026-07-27,2,Карусель,ДЫРЫ,МИФОБОРЕЦ,Хаотик,«Стратегия - для больших» и другие мифы,Стратегия нужна только большим? 78% так думают. Зря.,"С2: Миф: стратегия = толстый документ  |  С3: Реальность: 1 страница, 5 ответов  |  С4: 78% без стратегии реагируют, а не управляют (НАФИ)  |  С5: 5 вопросов одностраничной стратегии | Слайд 6: Шаблон стратегии на 1 страницу | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",Шаблон стратегии на 1 страницу,
2026-07-29,2,Карусель,СЛИВ,ТАЙМЛАЙН,Хаотик,Год без стратегии: хроника слива,Январь: таргет. Март: блогер. Июнь: SEO. Деньги: нигде.,"С2: Q1: попробовали таргет, бросили  |  С3: Q2: блогер разово, не измерили  |  С4: Q3: SEO на 2 месяца, рано бросили  |  С5: Итог года: ничего не доведено до цифры | Слайд 6: AI-аудит покажет, что доводить первым | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint","AI-аудит покажет, что доводить первым",
2026-07-31,2,Карусель,ФОРМУЛА,ВОПРОС-ОТВЕТ,Новичок,С чего начать маркетинг: 5 вопросов,«С чего начать?» - вопрос из каждого бизнес-чата. Отвечаем.,"С2: В: кто мой клиент? О: один сегмент, конкретно  |  С3: В: где он? О: 2 канала максимум  |  С4: В: что обещаю? О: оффер с цифрой  |  С5: В: как считаю? О: цена заявки и клиента | Слайд 6: Гайд для старта в боте | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",Гайд для старта в боте,
2026-08-03,3,Карусель,ДЫРЫ,ИСТОРИЯ,Беженец,Селлер ушёл с WB. Что дальше,Четверть селлеров ушла с маркетплейсов за год. Куда?,"С2: -24.5% активных селлеров (Sellmonitor)  |  С3: Маржа 3-10%, комиссии растут  |  С4: Свои магазины: +38% за полгода (ЮКасса)  |  С5: Селлер умеет считать. Не умеет привлекать | Слайд 6: Дорожная карта D2C в боте | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",Дорожная карта D2C в боте,
2026-08-05,3,Карусель,ФОРМУЛА,КАЛЬКУЛЯТОР,Беженец,Маркетплейс vs свой канал: считаем маржу,Комиссия съедает 50% прибыли? Проверь за 60 секунд.,"С2: Маржа 10% в 2024  |  С3: Комиссия +5 п.п. = минус половина прибыли (Delovoymir)  |  С4: Свой канал: CAC вместо комиссии  |  С5: Формула сравнения на твоих цифрах | Слайд 6: Калькулятор в боте | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",Калькулятор в боте,
2026-08-07,3,Карусель,РОСТ,ПЕРЕВЁРНУТЫЙ,Беженец,Сначала результат: своя база покупателей,База 2 000 покупателей. Ноль комиссий. Так можно.,"С2: Это не корпорация, это малый селлер  |  С3: Как: квиз + бот + карты  |  С4: Было: весь трафик принадлежал платформе  |  С5: Первый шаг: увести повторные покупки к себе | Слайд 6: Дорожная карта D2C | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",Дорожная карта D2C,
2026-08-10,4,Карусель,СЛИВ,ШОКЕР,Разочарованный,Реклама в минус: ты в клубе 46%,46% бизнесов кормят рекламу 3 месяца до первого плюса.,"С2: 46% окупают рекламу через 3+ мес (НАФИ)  |  С3: Причина не в рекламе: в обработке  |  С4: CAC растёт из-за потери лидов, не кликов  |  С5: Что чинить до бюджета: воронку | Слайд 6: AI-аудит: где твой минус | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",AI-аудит: где твой минус,
2026-08-12,4,Карусель,ФОРМУЛА,КАЛЬКУЛЯТОР,Хаотик,Допустимая цена клиента: формула на салфетке,"Ты знаешь, сколько МОЖЕШЬ платить за клиента? 67% - нет.","С2: Чек умножь на маржу = грязная прибыль  |  С3: Минус повторные? LTV грубо = чек х покупки  |  С4: Клиент дороже 30% прибыли = минус  |  С5: Пример на цифрах кофейни | Слайд 6: Калькулятор юнит-экономики | Слайд 6 зеркалит слайд 1: та же композиция, amber - mint",Калькулятор юнит-экономики,
